,ABRD
0,80.25
1,80.3499984741211
2,80.3499984741211
3,80.3499984741211
4,80.3499984741211
5,81.0199966430664
6,81.88999938964844
7,81.88999938964844
8,81.4000015258789
9,82.02999877929688
10,82.83999633789062
11,82.41000366210938
12,82.4000015258789
13,81.30000305175781
14,83.19000244140625
15,84.0
16,84.0
17,83.5
18,82.5
19,82.5
20,81.97000122070312
21,82.80000305175781
22,82.9000015258789
23,84.0
24,83.0
25,84.19999694824219
26,84.22000122070312
27,83.4800033569336
28,83.26000213623047
29,83.26000213623047
30,83.0
31,84.48999786376953
32,87.0
33,86.0
34,86.0
35,86.5999984741211
36,87.51000213623047
37,87.5999984741211
38,87.75
39,87.72000122070312
40,88.80000305175781
41,89.16999816894531
42,89.5999984741211
43,90.01000213623047
44,90.01000213623047
45,90.9000015258789
46,92.23999786376953
47,91.91999816894531
48,92.30000305175781
49,92.37000274658203
50,93.66000366210938
51,93.13999938964844
52,93.30000305175781
53,92.41000366210938
54,93.4000015258789
55,94.94999694824219
56,94.80000305175781
57,95.0
58,95.19000244140625
59,96.0
60,96.12999725341797
61,96.12999725341797
62,96.55999755859375
63,97.87000274658203
64,96.75
65,98.25
66,96.80000305175781
67,97.19999694824219
68,99.9000015258789
69,98.75
70,99.63999938964844
71,99.51000213623047
72,99.98999786376953
73,102.0
74,99.91999816894531
75,100.0
76,100.0
77,101.9000015258789
78,100.01000213623047
79,102.13999938964844
80,101.01000213623047
81,103.18000030517578
82,103.1500015258789
83,103.5
84,102.0
85,102.08999633789062
86,101.0
87,102.5
88,102.2300033569336
89,101.22000122070312
90,102.5
91,101.30999755859375
92,103.37999725341797
93,103.0
94,102.77999877929688
95,105.05000305175781
96,105.41000366210938
97,103.51000213623047
98,103.8499984741211
99,103.37999725341797
100,102.11000061035156
101,102.86000061035156
102,103.19999694824219
103,101.4000015258789
104,101.3499984741211
105,101.4000015258789
106,102.30000305175781
107,104.6500015258789
108,105.52999877929688
109,106.66999816894531
110,106.48999786376953
111,106.0
112,107.02999877929688
113,106.70999908447266
114,109.01000213623047
115,109.7300033569336
116,107.68000030517578
117,107.30000305175781
118,105.69999694824219
119,106.0999984741211
120,105.62000274658203
121,107.80000305175781
122,109.1500015258789
