,BLNG
0,3.885999917984009
1,3.885999917984009
2,3.885999917984009
3,3.885999917984009
4,3.885999917984009
5,3.809999942779541
6,3.8410000801086426
7,3.924999952316284
8,3.812000036239624
9,3.9040000438690186
10,3.9049999713897705
11,3.9000000953674316
12,3.927999973297119
13,3.8489999771118164
14,3.872999906539917
15,3.755000114440918
16,3.8459999561309814
17,3.7049999237060547
18,3.7990000247955322
19,3.7929999828338623
20,3.7300000190734863
21,3.61299991607666
22,3.5889999866485596
23,3.562000036239624
24,3.61899995803833
25,3.5390000343322754
26,3.546999931335449
27,3.555000066757202
28,3.502000093460083
29,3.5980000495910645
30,3.5299999713897705
31,3.5250000953674316
32,3.490000009536743
33,3.694000005722046
34,3.674999952316284
35,3.63100004196167
36,3.6730000972747803
37,3.6549999713897705
38,3.5999999046325684
39,3.5950000286102295
40,3.5829999446868896
41,3.609999895095825
42,3.575000047683716
43,3.5999999046325684
44,3.515000104904175
45,3.5429999828338623
46,3.5450000762939453
47,3.507999897003174
48,3.5399999618530273
49,3.427000045776367
50,3.319000005722046
51,3.1489999294281006
52,2.9200000762939453
53,2.9619998931884766
54,2.999000072479248
55,3.009000062942505
56,3.002000093460083
57,2.9809999465942383
58,2.953000068664551
59,2.947999954223633
60,2.684000015258789
61,2.6419999599456787
62,2.440999984741211
63,2.302999973297119
64,2.5450000762939453
65,2.5510001182556152
66,2.5199999809265137
67,2.444000005722046
68,2.5920000076293945
69,2.549999952316284
70,2.5299999713897705
71,2.502000093460083
72,2.440999984741211
73,2.4000000953674316
74,2.4079999923706055
75,2.5439999103546143
76,2.5999999046325684
77,2.5999999046325684
78,2.6429998874664307
79,2.5999999046325684
80,2.677999973297119
81,2.6019999980926514
82,2.565000057220459
83,2.6459999084472656
84,2.5799999237060547
85,2.5209999084472656
86,2.5490000247955322
87,2.500999927520752
88,2.5250000953674316
89,2.5190000534057617
90,2.5
91,2.5
92,2.5
93,2.5
94,2.5950000286102295
95,2.6459999084472656
96,2.571000099182129
97,2.619999885559082
98,2.619999885559082
99,2.6449999809265137
100,2.6589999198913574
101,2.674999952316284
102,2.6489999294281006
103,2.5179998874664307
104,2.546999931335449
105,2.5869998931884766
106,2.5490000247955322
107,2.578000068664551
108,2.631999969482422
109,2.6589999198913574
110,2.674999952316284
111,2.7739999294281006
112,2.819999933242798
113,2.812000036239624
114,2.867000102996826
115,2.9100000858306885
116,2.9079999923706055
117,2.8389999866485596
118,2.9000000953674316
119,3.000999927520752
120,2.993000030517578
121,2.9000000953674316
122,2.819999933242798
123,2.7890000343322754
