,IGST
0,425.1000061035156
1,425.1000061035156
2,425.1000061035156
3,425.1000061035156
4,425.1000061035156
5,450.0
6,450.0
7,493.0
8,461.1000061035156
9,462.0
10,462.0
11,462.0
12,462.0
13,462.0
14,450.0
15,450.0
16,450.0
17,450.0
18,450.0
19,450.0
20,450.0
21,450.0
22,450.0
23,450.0
24,450.0
25,450.0
26,450.0
27,450.0
28,499.8999938964844
29,499.8900146484375
30,518.7999877929688
31,518.7999877929688
32,518.7999877929688
33,485.0
34,485.0
35,500.0
36,500.0
37,452.0
38,500.79998779296875
39,422.0
40,422.0
41,422.0
42,422.0
43,422.0
44,429.0
45,429.0
46,410.0
47,410.0
48,410.0
49,401.0
50,401.0
51,401.0
52,401.0
53,401.0
54,401.0
55,401.0
56,401.0
57,401.0
58,405.0
59,405.0
60,405.0
61,405.0
62,405.0
63,405.0
64,405.0
65,405.0
66,405.0
67,405.0
68,405.0
69,405.0
70,310.0
71,320.0
72,320.0
73,320.0
74,300.0
75,300.0
76,300.0
77,290.1000061035156
78,305.0
79,290.0
80,290.0
81,274.29998779296875
82,274.29998779296875
83,274.29998779296875
84,274.29998779296875
85,274.29998779296875
86,274.29998779296875
87,274.29998779296875
88,300.0
89,329.8999938964844
90,329.8999938964844
91,328.0
92,328.0
93,328.0
94,328.0
95,328.0
96,328.0
97,320.0
98,320.0
99,320.0
100,320.0
101,331.70001220703125
102,331.70001220703125
103,331.70001220703125
104,331.70001220703125
105,206.8000030517578
106,206.8000030517578
107,303.0
108,340.0
109,323.79998779296875
110,318.0
111,316.0
112,316.0
113,320.20001220703125
114,323.79998779296875
115,323.79998779296875
116,323.79998779296875
117,323.79998779296875
118,323.79998779296875
119,323.79998779296875
120,323.79998779296875
121,323.79998779296875
122,323.79998779296875
123,323.79998779296875
124,323.79998779296875
125,323.79998779296875
126,323.79998779296875
127,323.79998779296875
128,323.79998779296875
129,340.0
130,380.0
131,380.0
132,380.0
133,380.0
134,380.0
135,380.0
136,380.0
137,380.0
138,380.0
139,380.0
140,380.0
141,380.0
142,380.0
143,380.0
144,380.0
145,380.0
146,380.0
147,399.0
148,399.0
149,399.0
150,399.0
151,399.0
152,399.0
153,399.0
154,399.0
155,399.0
156,399.0
157,399.0
158,399.0
159,399.0
160,399.0
161,399.0
162,300.0
163,300.0
164,300.0
165,300.0
166,300.0
167,350.0
168,350.0
169,350.0
170,350.0
171,350.0
172,350.0
173,243.10000610351562
174,243.10000610351562
175,243.10000610351562
176,243.10000610351562
177,243.10000610351562
178,243.10000610351562
179,243.10000610351562
180,243.10000610351562
181,243.10000610351562
182,339.8999938964844
183,339.8999938964844
184,339.8999938964844
185,339.8999938964844
186,250.39999389648438
187,250.39999389648438
188,250.39999389648438
189,272.6000061035156
190,272.6000061035156
191,272.6000061035156
192,272.6000061035156
193,219.60000610351562
194,219.60000610351562
195,267.8999938964844
196,267.8999938964844
197,267.8999938964844
198,267.8999938964844
199,267.8999938964844
200,267.8999938964844
201,267.8999938964844
202,267.8999938964844
203,257.6000061035156
204,257.6000061035156
205,286.0
206,286.0
207,286.0
208,286.0
209,286.0
210,286.0
211,286.0
212,286.0
213,225.5
214,225.5
215,225.5
216,225.5
217,292.6000061035156
218,292.6000061035156
219,292.6000061035156
220,292.6000061035156
221,292.6000061035156
222,292.6000061035156
223,292.6000061035156
224,301.70001220703125
225,302.29998779296875
226,300.0
227,300.0
228,300.0
229,303.1000061035156
230,300.0
231,300.0
232,300.0
233,300.0
234,231.10000610351562
235,231.10000610351562
236,231.10000610351562
237,233.3000030517578
238,233.3000030517578
239,233.3000030517578
240,250.0
241,230.10000610351562
242,230.10000610351562
243,230.10000610351562
244,230.10000610351562
245,222.0
246,222.0
247,222.0
248,222.0
249,222.0
250,223.3000030517578
251,264.8999938964844
252,264.8999938964844
253,220.89999389648438
254,220.89999389648438
255,220.89999389648438
256,269.8999938964844
257,250.0
258,300.0
259,325.0
260,401.0
261,305.0
262,440.0
263,440.0
264,440.0
265,404.20001220703125
266,404.20001220703125
267,404.20001220703125
268,404.20001220703125
269,404.20001220703125
270,404.20001220703125
271,404.20001220703125
272,404.20001220703125
273,416.0
274,416.0
275,416.0
276,416.0
277,416.0
278,416.0
279,416.0
280,358.0
281,418.0
282,418.0
283,418.0
284,410.0
285,410.0
286,410.0
287,410.0
288,410.0
289,410.0
290,410.0
291,410.0
292,410.0
293,410.0
294,410.0
295,410.0
296,410.0
297,410.0
298,390.0
299,410.0
300,410.0
301,410.0
302,410.0
303,349.0
304,353.0
305,353.0
306,423.0
307,423.0
308,423.0
309,423.0
310,423.0
311,423.0
312,423.0
313,423.0
314,423.0
315,423.0
316,423.0
317,279.0
318,352.0
319,440.0
320,420.0
321,420.0
322,420.0
323,274.0
324,274.0
325,274.0
326,346.0
327,346.0
328,346.0
329,256.0
330,256.0
331,256.0
332,256.0
333,256.0
334,256.0
335,256.0
336,256.0
337,256.0
338,329.0
339,329.0
340,329.0
341,329.0
342,329.0
343,329.0
344,329.0
345,329.0
346,329.0
347,329.0
348,329.0
349,329.0
350,329.0
351,329.0
352,329.0
353,329.0
354,329.0
355,329.0
356,329.0
357,290.0
358,299.0
359,312.0
360,312.0
361,315.0
362,370.0
363,370.0
364,364.0
365,364.0
366,358.0
367,358.0
368,316.0
369,353.0
370,353.0
371,353.0
372,353.0
373,353.0
374,370.0
375,365.0
