,VJGZ
0,570.0
1,570.0
2,570.0
3,570.0
4,570.0
5,555.0
6,580.0
7,577.5
8,577.5
9,600.0
10,600.0
11,600.0
12,600.0
13,600.0
14,609.9000244140625
15,600.0
16,600.0
17,610.0
18,619.9000244140625
19,623.0
20,623.0
21,625.0
22,640.0
23,650.0
24,650.0
25,650.0
26,670.0
27,711.0
28,714.9000244140625
29,710.0
30,710.0
31,710.0
32,713.0
33,685.0
34,725.0
35,733.0
36,751.5999755859375
37,749.7000122070312
38,768.0
39,780.0
40,780.0
41,765.0
42,790.0
43,795.5
44,810.0
45,810.0
46,815.0
47,805.0
48,783.0
49,740.0
50,775.0
51,725.0
52,784.0
53,691.0
54,691.0
55,690.0
56,690.0
57,690.0
58,675.0
59,650.0
60,748.0999755859375
61,748.0999755859375
62,748.0999755859375
63,748.0999755859375
64,748.0999755859375
65,748.0999755859375
66,770.0
67,770.0
68,770.0
69,770.0
70,770.0
71,770.0
72,770.0
73,770.0
74,770.0
75,770.0
76,770.0
77,770.0
78,770.0
79,770.0
80,700.0
81,700.0
82,686.4000244140625
83,686.4000244140625
84,716.2000122070312
85,716.2000122070312
86,716.2000122070312
87,616.0
88,715.0
89,627.7000122070312
90,625.0
91,625.0
92,625.0
93,625.0
94,650.0
95,650.0
96,650.0
97,650.0
98,650.0
99,740.0
100,707.0
101,699.7999877929688
102,699.7999877929688
103,699.7999877929688
104,641.0
105,699.9000244140625
106,699.9000244140625
107,749.0
108,748.0
109,748.0
110,740.0
111,750.0
112,750.0
113,825.0
114,825.0
115,825.0
116,800.0
117,815.0
118,814.0
119,814.0
120,820.0
121,820.0
122,800.0
123,790.0
124,820.0
125,820.0
126,820.0
127,820.0
128,820.0
129,820.0
130,820.0
131,700.0
132,800.0
133,800.0
134,800.0
135,800.0
136,800.0
137,700.0
138,700.0
139,700.0
140,700.0
141,700.0
142,700.0
143,700.0
144,700.0
145,700.0
146,700.0
147,700.0
148,700.0
149,695.0
150,680.0
151,650.0
152,650.0
153,650.0
154,650.0
155,650.0
156,650.0
157,650.0
158,650.0
159,650.0
160,650.0
161,650.0
162,650.0
163,650.0
164,650.0
165,650.0
166,650.0
167,650.0
168,650.0
169,650.0
170,650.0
171,650.0
172,650.0
173,700.0
174,700.0
175,700.0
176,700.0
177,700.0
178,700.0
179,700.0
180,700.0
181,732.0
182,800.0
183,750.0
184,750.0
185,750.0
186,750.0
187,700.0
188,700.0
189,700.0
190,700.0
191,700.0
192,700.0
193,700.0
194,700.0
195,800.0
196,800.0
197,800.0
198,800.0
199,800.0
200,800.0
201,800.0
202,800.0
203,800.0
